"id_distrito","departamento","distrito","total_hogares","hogares_con_heladera","hogares_con_telefono_celular","hogares_con_telefono_de_linea","hogares_con_computadoras"
"1306","Belgrano","Armstrong",3840,3776,3377,2475,1983
"1303","Belgrano","Las Parejas",3896,3822,3564,2029,1910
"1302","Belgrano","Las Rosas",4398,4302,3797,2423,1995
"1805","Caseros","Casilda",11705,11381,10012,6745,5258
"0841","Castellanos","Frontera",2956,2823,2633,1085,975
"0824","Castellanos","Rafaela",29655,28967,25676,19920,15369
"0811","Castellanos","Sunchales",7022,6940,6221,4008,3955
"1918","Constitución","Villa Constitución",14624,14140,12307,8974,6860
"1706","General López","Firmat",6673,6508,5719,3755,3147
"1727","General López","Rufino",6639,6527,5735,4055,3257
"1713","General López","Venado Tuerto",25230,24599,22418,15042,12734
"1719","General López","Villa Cañás",3252,3193,2860,1615,1486
"0319","General Obligado","Avellaneda",7173,6602,6330,2746,2973
"0305","General Obligado","Las Toscas",3296,2735,2723,1372,1006
"0323","General Obligado","Malabrigo",2158,2007,1846,742,869
"0320","General Obligado","Reconquista",21117,19467,18520,8674,9010
"0308","General Obligado","Villa Ocampo",5686,4679,4654,2687,1666
"1410","Iriondo","Cañada de Gómez",9929,9742,8476,6186,4946
"1402","Iriondo","Totoras",3458,3363,3013,1787,1598
"1005","La Capital","Laguna Paiva",3923,3777,3226,2175,1477
"1010","La Capital","Recreo",4016,3647,3473,1777,1355
"1011","La Capital","Santa Fe",124927,119940,106886,77760,65728
"1012","La Capital","Santo Tomé",19834,19202,17175,13723,10109
"0916","Las Colonias","Esperanza",13884,13614,12133,7967,7123
"0935","Las Colonias","San Carlos Centro",3801,3754,3285,2180,1755
"0105","9 de Julio","Tostado",4616,4120,3699,2746,1518
"1618","Rosario","Arroyo Seco",6765,6559,5725,4313,3158
"1604","Rosario","Funes",7382,7329,6827,5446,4920
"1602","Rosario","Granadero Baigorria",10817,10417,9498,6394,5036
"1606","Rosario","Pérez",7832,7393,6788,4067,2824
"1603","Rosario","Rosario",320532,311379,275620,227552,176262
"1608","Rosario","Villa Gobernador Gálvez",22320,21160,18365,14376,8067
"0701","San Cristóbal","Ceres",4799,4612,4128,2208,1902
"0708","San Cristóbal","San Cristóbal",4985,4718,4149,2646,1830
"0404","San Javier","San Javier",4673,3817,3993,917,1330
"1105","San Jerónimo","Coronda",5280,4815,4521,1938,1909
"1108","San Jerónimo","Gálvez",6528,6395,5550,4697,3309
"1121","San Jerónimo","San Genaro",2984,2892,2494,1651,1205
"0611","San Justo","San Justo",7304,7007,6253,3099,2878
"1505","San Lorenzo","Capitán Bermúdez",9107,8873,7471,6124,3906
"1509","San Lorenzo","Carcarañá",5043,4933,4427,2526,2289
"1504","San Lorenzo","Fray Luis Beltrán",4532,4336,3798,2775,1958
"1502","San Lorenzo","Puerto General San Martín",3742,3561,3227,1764,1329
"1511","San Lorenzo","Roldán",4286,4152,3794,2274,2061
"1503","San Lorenzo","San Lorenzo",14695,14283,12674,8937,7088
"1215","San Martín","El Trébol",3917,3857,3398,2292,1972
"1208","San Martín","San Jorge",5971,5867,5165,3437,2863
"1203","San Martín","Sastre",2026,1988,1717,1263,929
"0205","Vera","Calchaquí",3186,2833,2706,885,970
"0202","Vera","Vera",5888,5224,4992,2142,2001
"1301","Belgrano","Bouquet",472,463,427,316,218
"1304","Belgrano","Montes de Oca",1041,1019,865,701,465
"1305","Belgrano","Tortugas",834,814,731,374,381
"1803","Caseros","Arequito",2339,2314,2019,1358,1115
"1801","Caseros","Arteaga",1172,1162,994,776,532
"1811","Caseros","Berabevú",818,813,682,507,367
"1807","Caseros","Bigand",1778,1754,1530,892,798
"1808","Caseros","Chabás",2415,2370,2080,1347,1043
"1812","Caseros","Chañar Ladeado",2037,2016,1761,1298,1036
"1813","Caseros","Gödeken",589,570,497,311,226
