"id_distrito","departamento","distrito","tipo_de_vivienda","hogares"
"1306","Belgrano","Armstrong","Casa",3634
"1301","Belgrano","Bouquet","Casa",469
"1303","Belgrano","Las Parejas","Casa",3814
"1302","Belgrano","Las Rosas","Casa",4307
"1304","Belgrano","Montes de Oca","Casa",1034
"1305","Belgrano","Tortugas","Casa",823
"1803","Caseros","Arequito","Casa",2307
"1801","Caseros","Arteaga","Casa",1152
"1811","Caseros","Berabevú","Casa",806
"1807","Caseros","Bigand","Casa",1748
"1805","Caseros","Casilda","Casa",10894
"1808","Caseros","Chabás","Casa",2385
"1812","Caseros","Chañar Ladeado","Casa",2006
"1813","Caseros","Gödeken","Casa",588
"1804","Caseros","Los Molinos","Casa",616
"1810","Caseros","Los Quirquinchos","Casa",914
"1806","Caseros","Sanford","Casa",631
"1802","Caseros","San José de la Esquina","Casa",2394
"1809","Caseros","Villada","Casa",461
"0837","Castellanos","Angélica","Casa",520
"0812","Castellanos","Ataliva","Casa",696
"0826","Castellanos","Aurelia","Casa",86
"0832","Castellanos","Bauer y Sigel","Casa",153
"0825","Castellanos","Bella Italia","Casa",376
"0822","Castellanos","Colonia Castellanos","Casa",92
"0810","Castellanos","Colonia Aldao","Casa",573
"0807","Castellanos","Colonia Bicha","Casa",103
"0816","Castellanos","Colonia Bigand","Casa",52
"0834","Castellanos","Colonia Cello","Casa",96
"0805","Castellanos","Tacural","Casa",468
"0836","Castellanos","Colonia Iturraspe","Casa",5
"0845","Castellanos","Colonia Margarita","Casa",118
"0804","Castellanos","Colonia Raquel","Casa",140
"0806","Castellanos","Tacurales","Casa",145
"0820","Castellanos","Coronel Fraga","Casa",133
"0815","Castellanos","Egusquiza","Casa",143
"0842","Castellanos","Esmeralda","Casa",279
"0838","Castellanos","Estación Clucellas","Casa",303
"0808","Castellanos","Eusebia","Casa",308
"0839","Castellanos","Eustolia","Casa",44
"0817","Castellanos","Fidela","Casa",52
"0841","Castellanos","Frontera","Casa",2852
"0813","Castellanos","Galisteo","Casa",82
"0843","Castellanos","Garibaldi","Casa",110
"0809","Castellanos","Colonia Hugentobler","Casa",52
"0803","Castellanos","Humberto Primo","Casa",1701
"0833","Castellanos","Josefina","Casa",755
