"id_distrito","departamento","distrito","sexo","edad","condicion_actividad_economica","poblacion"
"1306","Belgrano","Armstrong","Varones","de 14 años","Económicamente activa - Ocupada",25
"1306","Belgrano","Armstrong","Varones","de 15 a 19 años","Económicamente activa - Ocupada",223
"1306","Belgrano","Armstrong","Varones","de 20 a 24 años","Económicamente activa - Ocupada",365
"1306","Belgrano","Armstrong","Varones","de 25 a 29 años","Económicamente activa - Ocupada",369
"1306","Belgrano","Armstrong","Varones","de 30 a 34 años","Económicamente activa - Ocupada",420
"1306","Belgrano","Armstrong","Varones","de 35 a 39 años","Económicamente activa - Ocupada",392
"1306","Belgrano","Armstrong","Varones","de 40 a 44 años","Económicamente activa - Ocupada",335
"1306","Belgrano","Armstrong","Varones","de 45 a 49 años","Económicamente activa - Ocupada",325
"1306","Belgrano","Armstrong","Varones","de 50 a 54 años","Económicamente activa - Ocupada",263
"1306","Belgrano","Armstrong","Varones","de 55 a 59 años","Económicamente activa - Ocupada",265
"1306","Belgrano","Armstrong","Varones","de 60 a 64 años","Económicamente activa - Ocupada",226
"1306","Belgrano","Armstrong","Varones","de 65 a 69 años","Económicamente activa - Ocupada",138
"1306","Belgrano","Armstrong","Varones","de 70 a 74 años","Económicamente activa - Ocupada",64
"1306","Belgrano","Armstrong","Varones","de 75 a 79 años","Económicamente activa - Ocupada",41
"1306","Belgrano","Armstrong","Varones","de 80 y más años","Económicamente activa - Ocupada",13
"1306","Belgrano","Armstrong","Mujeres","de 14 años","Económicamente activa - Ocupada",22
"1306","Belgrano","Armstrong","Mujeres","de 15 a 19 años","Económicamente activa - Ocupada",133
"1306","Belgrano","Armstrong","Mujeres","de 20 a 24 años","Económicamente activa - Ocupada",242
"1306","Belgrano","Armstrong","Mujeres","de 25 a 29 años","Económicamente activa - Ocupada",306
"1306","Belgrano","Armstrong","Mujeres","de 30 a 34 años","Económicamente activa - Ocupada",327
"1306","Belgrano","Armstrong","Mujeres","de 35 a 39 años","Económicamente activa - Ocupada",276
"1306","Belgrano","Armstrong","Mujeres","de 40 a 44 años","Económicamente activa - Ocupada",246
"1306","Belgrano","Armstrong","Mujeres","de 45 a 49 años","Económicamente activa - Ocupada",240
"1306","Belgrano","Armstrong","Mujeres","de 50 a 54 años","Económicamente activa - Ocupada",209
"1306","Belgrano","Armstrong","Mujeres","de 55 a 59 años","Económicamente activa - Ocupada",165
"1306","Belgrano","Armstrong","Mujeres","de 60 a 64 años","Económicamente activa - Ocupada",132
