"id_distrito","Departamento","Distrito","Sexo","Grupo de edad","Educación alcanzada","Población"
"1306","Belgrano","Armstrong","Varones","de 15 a 19 años","Primario Incompleto",27
"1306","Belgrano","Armstrong","Varones","de 15 a 19 años","Primario Completo",65
"1306","Belgrano","Armstrong","Varones","de 15 a 19 años","Secundario Incompleto",305
"1306","Belgrano","Armstrong","Varones","de 15 a 19 años","Secundario Completo",29
"1306","Belgrano","Armstrong","Varones","de 15 a 19 años","Superior no universitario Incompleto",9
"1306","Belgrano","Armstrong","Varones","de 15 a 19 años","Superior universitario Incompleto",16
"1306","Belgrano","Armstrong","Varones","de 20 a 24 años","Sin instrucción",2
"1306","Belgrano","Armstrong","Varones","de 20 a 24 años","Primario Incompleto",18
"1306","Belgrano","Armstrong","Varones","de 20 a 24 años","Primario Completo",92
"1306","Belgrano","Armstrong","Varones","de 20 a 24 años","Secundario Incompleto",138
"1306","Belgrano","Armstrong","Varones","de 20 a 24 años","Secundario Completo",99
"1306","Belgrano","Armstrong","Varones","de 20 a 24 años","Superior no universitario Incompleto",13
"1306","Belgrano","Armstrong","Varones","de 20 a 24 años","Superior no universitario Completo",7
"1306","Belgrano","Armstrong","Varones","de 20 a 24 años","Superior universitario Incompleto",58
"1306","Belgrano","Armstrong","Varones","de 20 a 24 años","Superior universitario Completo",4
"1306","Belgrano","Armstrong","Varones","de 25 a 29 años","Primario Incompleto",14
"1306","Belgrano","Armstrong","Varones","de 25 a 29 años","Primario Completo",61
"1306","Belgrano","Armstrong","Varones","de 25 a 29 años","Secundario Incompleto",90
"1306","Belgrano","Armstrong","Varones","de 25 a 29 años","Secundario Completo",137
"1306","Belgrano","Armstrong","Varones","de 25 a 29 años","Superior no universitario Incompleto",12
"1306","Belgrano","Armstrong","Varones","de 25 a 29 años","Superior no universitario Completo",16
"1306","Belgrano","Armstrong","Varones","de 25 a 29 años","Superior universitario Incompleto",32
"1306","Belgrano","Armstrong","Varones","de 25 a 29 años","Superior universitario Completo",17
"1306","Belgrano","Armstrong","Varones","de 30 a 39 años","Sin instrucción",3
"1306","Belgrano","Armstrong","Varones","de 30 a 39 años","Primario Incompleto",27
