"Identificador","Nombre","Fecha matrícula","Vigencia en meses","Tipo de organización","Fecha de inicio de actividad","Cantidad de asistentes","Cantidad de responsables","Poblacion asistida","Comidas ofrecidas","Fecha de registro","Tipo de georreferenciación","Latitud","Longitud","Municipio","Localidad","Calle","Altura","Entre calle 2","Entre calle 2","Código de provincia","Nombre de provincia","Código de departamentos/comuna","Nombre de departamentos/comuna","Código de radio"
469,"Nuestra Señora de Itatí-Norte","",,"Comedor","2003-03-01",444,5,"Niñas y Niños, Adultos, Adultos Mayores","Almuerzo, Merienda","2021-01-05 21:48:51",1,-32.88682526,-60.70467101,"","ROSARIO","REPUBLICA DE IRAK","1601","MOLINA","UNION","82","Santa Fe","82084","Rosario","820840605"
390,"Asociación civil mujeres emprendedoras","",,"Comedor","2000-05-15",400,5,"Niñas y Niños, Adultos, Adultos Mayores","Desayuno, Almuerzo","2020-08-27 16:46:51",1,-32.88811652,-60.70348289,"Santa Fe","ROSARIO","MEDRANO","2784","coliqueo","siripo","82","Santa Fe","82084","Rosario","820840605"
524,"Cooperativa de Trabajo Solidaridad y Organizacion Laboral SOL Ltd","",,"Comedor","2001-12-03",120,4,"Niñas y Niños, Adultos, Adultos Mayores","Almuerzo, Merienda","2020-08-24 20:49:14",1,-32.8898671,-60.70434241,"","ROSARIO","UNION","2664","Rivera","Coliqueo","82","Santa Fe","82084","Rosario","820840606"
439,"Nuestra Sra. de Fatima","",,"Comedor","2002-01-01",463,5,"Niñas y Niños, Adultos Mayores","Almuerzo","2020-09-08 00:34:23",1,-32.89561491,-60.71160411,"","ROSARIO","PIZURNO","2125","FREYRE","MARIANO PERDRIEL","82","Santa Fe","82084","Rosario","820840614"
3053,"Coop ""Las Torres""","",,"Comedor","2002-01-01",380,5,"Niñas y Niños, Adultos, Adultos Mayores","Desayuno, Almuerzo","2020-12-14 15:46:10",3,-32.90558687,-60.70383013,"","ROSARIO","MILLER A","1316","AV CABASSA","WASHINGTON","82","Santa Fe","82084","Rosario","820840707"
397,"Asoc civil La esperanza de todos","",,"Comedor","1998-01-02",150,5,"Jóvenes (18 a 29 años) , Adolescentes (13 a 17 años), Niñas y Niños, Adultos, Adultos Mayores","Desayuno, Cena","2022-04-18 14:34:15",1,-32.90633279,-60.70288154,"","ROSARIO","MILLER","1266","NETRI","AV CABASSA","82","Santa Fe","82084","Rosario","820840721"
3054,"Coop "" Las Torres "" Ltda","",,"Comedor","2002-01-01",360,5,"Niñas y Niños, Adultos, Adultos Mayores","Desayuno, Almuerzo","2020-08-25 16:27:24",3,-32.9057202,-60.7040225,"","ROSARIO","MILLER","1327","AV CABASSA","WASHINGTON","82","Santa Fe","82084","Rosario","820840721"
398,"La Esperanza De Todos","",,"Comedor","2002-01-03",150,5,"Niñas y Niños, Adultos, Adultos Mayores","Desayuno, Cena","2020-08-03 14:01:34",1,-32.90633279,-60.70288154,"","ROSARIO","MILLER","1266","NETRI","AV CABASSA","82","Santa Fe","82084","Rosario","820840721"
135,"Centro Comunitario 9 De Julio","",,"Comedor","2000-07-09",850,5,"Niñas y Niños, Adultos Mayores","Almuerzo, Merienda","2020-08-04 12:31:11",1,-32.91345087,-60.70286864,"Santa Fe","ROSARIO","CABAL BIS","1271","PJE QUITO","PJE LABARDEN","82","Santa Fe","82084","Rosario","820841019"
3266,"Centro de jubilados y pensionados Edad Dorada barrio Larrea","",,"Comedor","2002-10-10",70,5,"Adultos Mayores","Desayuno, Almuerzo","2020-09-15 14:03:50",3,-32.9154663,-60.7183225,"","ROSARIO","PJE NAZCA","7136","COLOMBIA","MEJICO B","82","Santa Fe","82084","Rosario","820841006"
