"id_distrito","departamento","distrito","regimen_de_tenencia","hogares_particulares_ocupados"
"1306","Belgrano","Armstrong","Propietario de la vivienda y del terreno",3057
"1301","Belgrano","Bouquet","Propietario de la vivienda y del terreno",349
"1303","Belgrano","Las Parejas","Propietario de la vivienda y del terreno",2973
"1302","Belgrano","Las Rosas","Propietario de la vivienda y del terreno",3228
"1304","Belgrano","Montes de Oca","Propietario de la vivienda y del terreno",825
"1305","Belgrano","Tortugas","Propietario de la vivienda y del terreno",630
"1803","Caseros","Arequito","Propietario de la vivienda y del terreno",1900
"1801","Caseros","Arteaga","Propietario de la vivienda y del terreno",926
"1811","Caseros","Berabevú","Propietario de la vivienda y del terreno",652
"1807","Caseros","Bigand","Propietario de la vivienda y del terreno",1340
"1805","Caseros","Casilda","Propietario de la vivienda y del terreno",8604
"1808","Caseros","Chabás","Propietario de la vivienda y del terreno",1847
"1812","Caseros","Chañar Ladeado","Propietario de la vivienda y del terreno",1625
"1813","Caseros","Gödeken","Propietario de la vivienda y del terreno",480
"1804","Caseros","Los Molinos","Propietario de la vivienda y del terreno",490
"1810","Caseros","Los Quirquinchos","Propietario de la vivienda y del terreno",735
"1806","Caseros","Sanford","Propietario de la vivienda y del terreno",520
"1802","Caseros","San José de la Esquina","Propietario de la vivienda y del terreno",1910
"1809","Caseros","Villada","Propietario de la vivienda y del terreno",357
"0837","Castellanos","Angélica","Propietario de la vivienda y del terreno",344
"0812","Castellanos","Ataliva","Propietario de la vivienda y del terreno",444
"0826","Castellanos","Aurelia","Propietario de la vivienda y del terreno",30
"0832","Castellanos","Bauer y Sigel","Propietario de la vivienda y del terreno",91
"0825","Castellanos","Bella Italia","Propietario de la vivienda y del terreno",245
"0822","Castellanos","Colonia Castellanos","Propietario de la vivienda y del terreno",46
"0810","Castellanos","Colonia Aldao","Propietario de la vivienda y del terreno",365
"0807","Castellanos","Colonia Bicha","Propietario de la vivienda y del terreno",50
"0816","Castellanos","Colonia Bigand","Propietario de la vivienda y del terreno",5
"0834","Castellanos","Colonia Cello","Propietario de la vivienda y del terreno",45
"0805","Castellanos","Tacural","Propietario de la vivienda y del terreno",325
"0836","Castellanos","Colonia Iturraspe","Propietario de la vivienda y del terreno",1
"0845","Castellanos","Colonia Margarita","Propietario de la vivienda y del terreno",73
"0804","Castellanos","Colonia Raquel","Propietario de la vivienda y del terreno",46
"0806","Castellanos","Tacurales","Propietario de la vivienda y del terreno",39
"0820","Castellanos","Coronel Fraga","Propietario de la vivienda y del terreno",79
